SEP=,
Artist,Title,IsDuet,HasCoverImage,HasBackgroundImage,HasVideo
Birdy,Skinny Love,false,true,true,true
Black Eyed Peas,I Gotta Feeling,false,true,true,true
Blof,Zoutelande,false,true,true,true
Blondie,One Way or Another,false,true,true,true
Bob Marley & the Wailers,Redemption Song,false,true,true,true
Bob Marley,No Woman No Cry,false,true,true,true
Bon Jovi,It's my life,false,true,true,true
Bon Jovi,Keep the Faith,false,true,true,true
Bon Jovi,Livin' on a prayer,false,true,true,true
Bon Jovi,You Give Love A Bad Name,false,true,true,true
Britney Spears,Baby One More Time,false,true,true,true
Britney Spears,Oops! I did it again,false,true,true,true
Bruno Mars,24k Magic,false,true,true,true
Bruno Mars,Grenade,false,true,true,true
Bruno Mars,Just the Way You Are,false,true,true,true
Bruno Mars,Locked Out Of Heaven,false,true,true,true
Bruno Mars,Marry you,false,true,true,true
Bruno Mars,The Lazy Song,false,true,true,true
Bruno Mars,When I Was Your Man,false,true,true,true
BTS,Dynamite,false,true,true,true
Calvin Harris & Dua Lipa,One Kiss,false,true,true,true
Calvin Harris feat. Ellie Goulding,I Need Your Love,false,true,true,true
Calvin Harris feat. Rihanna,This Is What You Came For,false,true,true,true
Carly Rae Jepsen,Call Me Maybe,false,true,true,true
Carly Rae Jepsen,I Really Like You,false,true,true,true
Carly Rae Jepsen,This Kiss,false,true,true,true
Cascada,Everytime We Touch,false,true,true,true
Celine Dion,My Heart Will Go On,false,true,true,true
Charli XCX,Boom Clap - Soundtrack The Fault In Our Stars,false,true,true,true
Charli XCX,Break The Rules,false,true,true,true
Charli XCX,Good Ones,false,true,true,true
Charlie Puth,One Call Away,false,true,true,true
Charlie Puth feat. Meghan Trainor,Marvin Gaye,false,true,true,true
Chvrches,Forever,false,true,true,true
CHVRCHES,He Said She Said,false,true,true,true
Clean Bandit feat. Jess Glynne,Rather Be,false,true,true,true
Clean Bandit feat. Sean Paul & Anne-Marie,Rockabye,false,true,true,true
Clean Bandit Ft. Zara Larsson,Symphony,false,true,true,true
Clouseau,Anne,false,true,true,true
Clouseau,Daar Gaat Ze,false,true,true,true
Clouseau,Domino,false,true,true,true
Clouseau,Nobelprijs,false,true,true,true
Coldplay,A Sky Full of Stars,false,true,true,true
Coldplay,Fix You,false,true,true,true
Coldplay,Higher Power,false,true,true,true
Coldplay,In My Place,false,true,true,true
Coldplay,Speed Of Sound,false,true,true,true
Coldplay,The Scientist,false,true,true,true
Coldplay,Viva la vida,false,true,true,true
Coldplay,Yellow,false,true,true,true
Coldplay X Selena Gomez,Let Somebody Go,false,true,true,true
Concrete Castles,Half Awake,false,true,true,true
Daft Punk,Get Lucky,false,true,true,true
Daft Punk,One More Time,false,true,true,true
Damien Rice,9 Crimes,false,true,true,true
David Guetta & Showtek feat. Vassy,Bad,false,true,true,true
David Guetta & Sia,Flames,false,true,true,true
David Guetta & Sia,Titanium,false,true,true,true
David Guetta feat. Chris Willis,Love Is Gone,false,true,true,true
David Guetta feat. Justin Bieber,2U,false,true,true,true
David Guetta feat. Kelly Rowland,When Love Takes Over,false,true,true,true
David Guetta feat. Ne-Yo & Akon,Play Hard,false,true,true,true
David Guetta feat. Sia,Titanium,false,true,true,true
David Guetta feat. Usher,Without You,false,true,true,true
David Guetta ft. Flo Rida & Nicki Minaj,Where Them Girls At?,false,true,true,true
David Guetta ft. Kelly Rowland,When love takes over,false,true,true,true
David Guetta Ft. Nicki Minaj & Afrojack,Hey Mama,false,true,true,true
David Guetta Ft. Sia,Let's Love,false,true,true,true
De Kleine Zeemeermin,Diep In De Zee,false,true,true,true
De Leeuwenkoning,De kringloop van het leven,false,true,true,true
De leeuwenkoning,Hakuna matata,false,true,true,true
De Leeuwenkoning,Wacht Maar Tot Ik Koning Ben,false,true,true,true
Demi Lovato & Joe Jonas,This Is Me,false,true,true,true
Demi Lovato,Give Your Heart A Break,false,true,true,true
Demi Lovato,Heart Attack,false,true,true,true
Demi Lovato,Skyscraper,false,true,true,true
Dermot Kennedy,Giants,false,true,true,true
Dermot Kennedy,Outnumbered,false,true,true,true
"Descendants - Dove Cameron, Sofia Carson",Space Between,false,true,true,true
Descendants 2,You and Me,false,true,true,true
Disney - Aladdin,Een nieuw Begin (Aladdin),false,true,true,true
Disney,Be Prepared,false,true,true,true
Disney,Friends on the Other Side,false,true,true,true
Disney,Heaven's Light/Hellfire,false,true,true,true
